"","tweet","created","number"
"1","negative",2018-03-08,2
"2","negative",2018-03-09,4
"3","negative",2018-03-27,6
"4","negative",2018-05-04,2
"5","negative",2018-05-05,1
"6","negative",2018-05-06,6
"7","negative",2018-05-08,3
"8","neutral",2018-03-08,29
"9","neutral",2018-03-09,27
"10","neutral",2018-03-25,4
"11","neutral",2018-03-26,16
"12","neutral",2018-03-27,19
"13","neutral",2018-03-28,9
"14","neutral",2018-05-04,5
"15","neutral",2018-05-05,21
"16","neutral",2018-05-06,5
"17","neutral",2018-05-07,6
"18","neutral",2018-05-08,11
"19","positive",2018-03-07,1
"20","positive",2018-03-08,18
"21","positive",2018-03-09,22
"22","positive",2018-03-25,1
"23","positive",2018-03-26,15
"24","positive",2018-03-27,9
"25","positive",2018-03-28,9
"26","positive",2018-05-04,8
"27","positive",2018-05-05,13
"28","positive",2018-05-06,5
"29","positive",2018-05-07,4
"30","positive",2018-05-08,19
"31","positive",2018-05-09,1
